states	ns	s1	s2	s3
100	148	94	48	34
200	166	105	54	38
300	193	127	65	45
400	229	151	76	54
500	256	173	88	61
600	283	197	100	69
700	316	222	114	77
800	343	246	127	87
900	373	274	139	95
1001	403	300	153	104
1100	430	325	168	115
1200	458	347	179	121
1301	488	372	191	130
1400	514	393	204	139
1509	548	420	217	149
1600	573	439	230	155
1705	601	464	242	163
1799	627	487	252	170
1901	658	510	265	177
2050	699	544	280	190
2138	725	562	291	196
2207	744	580	301	203
2365	789	615	317	213
2405	801	623	321	216

