States,CUDAMPF,GraphBLAS,CUSP,GraphBLAS_spec_1_prep,GraphBLAS_spec_1,GraphBLAS_spec_2_prep,GraphBLAS_spec_2,CUSP_spec_1_prep,CUSP_spec_1
100,329,181,17700,0,126,20,265,18,10460
200,323,233,23902,0,163,68,990,24,16446
300,336,297,23896,0,212,148,2098,25,16597
400,326,360,24145,0,263,152,2013,25,16800
500,339,424,24343,0,311,167,2316,25,16729
600,339,481,24396,0,358,192,2872,25,16720
700,362,543,30838,0,409,275,3357,25,16879
800,354,606,30952,0,457,425,4497,25,16928
900,369,664,30741,0,501,606,5768,26,16944
1001,380,723,30762,0,548,800,6559,26,16910
1100,383,783,30984,0,601,1039,8889,26,16972
1200,383,842,31107,0,646,1301,9833,26,16990
1301,392,907,31038,0,689,1473,11429,26,16902
1400,404,966,30937,0,737,1684,13551,26,17013
1509,401,1024,31036,0,793,1964,14848,26,17104
1600,383,1087,31069,0,828,2145,18298,26,17153
1705,405,1141,31117,0,886,2460,20477,26,17015
1799,426,1197,30992,0,929,2690,21201,28,17025
1901,419,1266,31127,1,970,2968,25394,27,17196
2050,431,1355,31157,1,1059,3464,28786,27,17036
2138,425,1409,31253,1,1102,3780,31364,27,17207
2207,430,1451,36881,1,1134,4281,32979,27,17026
2365,438,1543,36723,1,1207,4675,38558,27,16850
2405,432,1579,36872,1,1217,4839,39506,29,17309
