states	ns	s1	st1	s2	st2	s3	st3	cudampf
100	288	188	0	97	5	66	143	293
200	350	221	1	107	8	78	143	321
300	405	269	2	130	10	89	182	339
400	462	318	2	153	12	106	218	317
500	505	350	3	176	15	122	257	331
600	571	407	3	200	17	138	295	330
700	635	453	5	226	20	155	332	358
800	692	505	5	254	22	172	369	341
900	745	549	5	278	25	191	408	374
1001	804	602	6	307	27	209	453	386
1100	868	651	6	357	29	227	482	339
1200	922	699	7	360	32	245	519	357
1301	979	741	7	387	34	260	563	386
1400	1030	788	9	411	37	275	590	374
1509	1093	839	9	435	41	296	642	385
1600	1147	883	9	457	41	309	668	393
1705	1206	933	10	482	44	326	715	373
1799	1276	973	11	505	47	340	749	389
1901	1310	1023	11	528	49	355	789	394
2050	1403	1094	13	562	53	378	835	432
2138	1455	1124	12	582	57	392	864	403
2207	1514	1154	13	600	58	403	902	393
2365	1574	1228	14	632	61	427	956	434
2405	1609	1249	15	644	61	431	972	420

