states	ns	s1	s2	s3
100	294	187	94	68
200	328	213	107	75
300	394	257	129	90
400	444	304	154	108
500	503	349	177	123
600	570	395	201	139
700	630	448	227	155
800	685	498	253	173
900	747	552	280	193
1001	804	604	310	209
1100	859	652	334	228
1200	916	694	355	245
1301	971	742	382	259
1400	1027	787	410	278
1509	1088	842	434	294
1600	1140	880	460	309
1705	1199	931	482	326
1799	1250	970	504	340
1901	1308	1019	529	356
2050	1396	1086	561	378
2138	1443	1125	581	393
2207	1481	1158	599	407
2365	1571	1226	635	426
2405	1593	1243	645	433

