States	GraphBLAS_spec_1_prep	GraphBLAS_spec_1	GraphBLAS_spec_2_prep	GraphBLAS_spec_2	GraphBLAS_spec_3_prep	GraphBLAS_spec_3	CUSP_spec_1_prep	CUSP_spec_1	CUSP_spec_2_prep	CUSP_spec_2	CUSP_spec_3_prep	CUSP_spec_3
102	0	82	4	41	92	29	23	9335	296	5115	6244	3775
202	0	98	6	50	133	36	29	9433	419	5204	8853	3875
302	0	126	8	64	176	46	31	13842	422	7366	8964	5427
402	0	151	10	76	217	55	29	13864	427	7451	8972	5336
502	0	178	12	91	262	65	29	14060	429	7464	8930	5306
602	0	205	14	104	303	75	29	14093	433	7588	9124	5427
702	0	235	16	118	347	84	29	14122	437	7609	9009	5382
802	0	259	18	132	388	97	29	14125	438	7607	9146	5534
902	0	292	21	146	430	103	30	14191	437	7611	9197	5456
1003	0	319	23	161	480	111	29	14269	440	7685	9319	5528
1102	0	345	25	174	514	121	31	14236	441	7630	9222	5525
1202	0	376	27	189	561	130	30	14328	447	7743	9424	5528
1303	0	400	29	201	611	139	31	14034	440	7604	9497	5670
1402	0	425	31	217	645	148	31	14319	450	7712	9371	5564
1511	0	457	33	232	703	158	31	14378	451	7865	9553	5665
1602	0	480	35	243	729	166	31	14437	454	7853	9453	5428
1707	0	508	38	258	788	175	31	14509	458	7816	9466	5583
1801	1	532	40	270	826	183	31	14281	457	7825	9764	5740
1903	0	562	41	285	872	193	31	14375	465	7873	9952	5798
2052	1	600	45	306	925	206	42	14402	467	8001	9672	5761
2140	1	630	47	315	955	214	31	14570	468	7932	9861	5798
2209	1	647	48	325	1000	219	32	14490	471	7978	9892	5817
2367	1	688	51	346	1062	234	33	14431	471	8047	9922	5826
2407	1	701	52	352	1083	240	32	14675	473	8157	9889	5853
