States	GraphBLAS_spec_1_prep	GraphBLAS_spec_1	GraphBLAS_spec_2_prep	GraphBLAS_spec_2	GraphBLAS_spec_3_prep	GraphBLAS_spec_3	CUSP_spec_1_prep	CUSP_spec_1	CUSP_spec_2_prep	CUSP_spec_2	CUSP_spec_3_prep	CUSP_spec_3
102	0	107	4	53	93	39	23	12484	296	6838	6237	5035
202	0	128	6	65	132	49	28	12606	421	6959	8836	5142
302	0	167	8	84	175	62	31	18461	423	9866	8903	7190
402	0	203	10	103	221	74	29	18550	429	9889	8916	7065
502	0	234	12	120	258	87	29	18808	430	9948	8932	7041
602	0	275	14	138	299	99	29	18814	436	10115	9078	7152
702	0	313	16	159	342	113	30	18942	436	10082	9022	7097
802	0	347	18	179	387	127	29	18836	436	10047	9164	7265
902	0	385	20	197	426	137	29	18866	440	10085	9200	7133
1003	0	426	22	217	477	147	29	18943	442	10163	9330	7188
1102	0	461	25	236	512	161	30	18858	443	9996	9237	7157
1202	0	497	27	254	555	173	31	19005	448	10146	9420	7171
1303	0	534	29	270	605	185	31	18603	442	9978	9498	7337
1402	0	568	30	289	637	198	30	18991	451	10092	9388	7158
1511	0	607	33	308	696	210	31	19042	452	10240	9531	7266
1602	0	638	35	325	720	222	31	19071	457	10277	9428	6933
1707	0	680	37	347	777	233	31	19087	455	10156	9466	7169
1801	0	711	40	359	815	243	31	18820	458	10158	9748	7290
1903	0	748	42	379	858	257	31	18925	467	10198	9886	7344
2052	0	800	44	407	912	277	42	18920	467	10333	9721	7269
2140	1	836	46	421	944	286	31	19067	470	10225	9851	7240
2209	1	863	48	433	988	292	32	18958	470	10508	9851	7312
2367	1	918	50	466	1059	310	32	18850	470	10324	9917	7299
2407	1	931	51	469	1073	316	32	19239	474	10462	9898	7320
