States,CUDAMPF,GraphBLAS,CUSP,GraphBLAS_spec_1_prep,GraphBLAS_spec_1,GraphBLAS_spec_2_prep,GraphBLAS_spec_2,CUSP_spec_1_prep,CUSP_spec_1
100,312,136,13309,0,94,20,195,18,7792
200,314,175,17900,0,121,69,732,24,12249
300,323,221,17880,0,157,148,1554,24,12345
400,326,270,17990,0,194,151,1493,25,12544
500,333,316,18167,0,231,166,1719,25,12496
600,344,362,18298,0,268,192,2126,25,12515
700,347,408,23101,0,300,279,2496,25,12561
800,352,453,23029,0,335,434,3332,25,12703
900,358,499,22995,0,374,591,4286,26,12700
1001,363,545,22943,0,410,792,4867,26,12696
1100,367,590,23195,0,445,1061,6603,26,12728
1200,368,639,23291,0,485,1256,7259,26,12732
1301,370,679,23216,0,516,1612,8495,26,12748
1400,375,723,23180,0,550,1718,10066,26,12686
1509,380,772,23302,0,587,1949,11038,26,12885
1600,383,815,23250,0,619,2153,13583,26,13041
1705,384,860,23459,0,656,2451,15217,26,12844
1799,388,903,23382,1,690,2692,15747,29,12861
1901,390,947,23365,1,725,2974,18859,27,12964
2050,397,1028,23469,1,789,3481,21373,27,12888
2138,398,1068,23565,1,820,3791,23297,27,13045
2207,402,1100,27737,1,852,4061,24303,27,12895
2365,409,1168,27612,1,899,4704,28680,27,12761
2405,413,1187,27719,1,912,4838,29366,27,13140
