states	ns	s1	st1	s2	st2	s3	st3	cudampf
100	219	138	0	69	5	46	107	297
200	251	155	1	80	8	55	156	296
300	291	203	2	97	11	67	226	311
400	345	224	2	114	12	81	221	284
500	384	259	3	133	15	91	300	298
600	425	295	3	150	21	102	301	285
700	472	333	4	168	20	115	406	315
800	517	367	5	188	28	129	449	338
900	563	408	5	205	26	141	483	348
1001	606	447	6	228	30	154	512	389
1100	652	483	6	264	36	169	573	336
1200	689	519	7	265	34	168	611	356
1301	734	551	8	285	38	194	635	356
1400	776	587	8	300	10	206	711	330
1509	823	625	10	322	39	219	783	355
1600	858	647	9	338	46	229	809	354
1705	907	687	10	357	50	240	847	392
1799	949	721	11	371	52	252	757	375
1901	993	759	11	393	49	264	964	380
2050	1057	806	12	419	62	279	890	383
2138	1092	836	13	431	62	290	1044	400
2207	1122	859	13	444	62	301	987	385
2365	1192	917	14	471	69	317	1114	379
2405	1205	930	15	476	69	321	1075	405

