states	ns	s1	s2	s3
100	240	153	76	51
200	251	163	83	55
300	290	192	99	67
400	336	231	117	80
500	385	264	132	91
600	430	299	149	102
700	481	338	168	114
800	518	373	185	127
900	569	412	208	142
1001	610	446	227	155
1100	647	485	247	166
1200	689	514	262	180
1301	730	552	283	192
1400	773	586	301	205
1509	824	622	320	217
1600	855	653	335	228
1705	899	690	355	240
1799	938	721	372	251
1901	985	755	389	262
2050	1046	800	413	279
2138	1082	830	428	289
2207	1108	853	440	299
2365	1180	909	467	314
2405	1198	921	474	318

