States,CUDAMPF,GraphBLAS,CUSP,GraphBLAS_spec_1_prep,GraphBLAS_spec_1,GraphBLAS_spec_2_prep,GraphBLAS_spec_2,CUSP_spec_1_prep,CUSP_spec_1,cuASR,cuASR_spec_1_prep,cuASR_spec_1,cuASR_spec_2_prep,cuASR_spec_2
100,312,136,13309,0,94,20,195,18,7792,1572,2,761,27,465
200,314,175,17900,0,121,69,732,24,12249,2787,4,1363,48,761
300,323,221,17880,0,157,148,1554,24,12345,5136,7,1915,71,1042
400,326,270,17990,0,194,151,1493,25,12544,5136,13,2510,138,1353
500,333,316,18167,0,231,166,1719,25,12496,6276,17,3065,176,1655
600,344,362,18298,0,268,192,2126,25,12515,7525,24,3661,279,2014
700,347,408,23101,0,300,279,2496,25,12561,8603,32,4176,402,2325
800,352,453,23029,0,335,434,3332,25,12703,10040,57,4778,590,3729
900,358,499,22995,0,374,591,4286,26,12700,11231,71,5311,769,4060
1001,363,545,22943,0,410,792,4867,26,12696,12524,82,5905,848,4418
1100,367,590,23195,0,445,1061,6603,26,12728,13756,101,6447,1080,5160
1200,368,639,23291,0,485,1256,7259,26,12732,15104,127,7050,1465,5557
1301,370,679,23216,0,516,1612,8495,26,12748,16371,151,7605,1780,6277
1400,375,723,23180,0,550,1718,10066,26,12686,17713,167,8197,1922,6687
1509,380,772,23302,0,587,1949,11038,26,12885,19110,196,8798,2285,7478
1600,383,815,23250,0,619,2153,13583,26,13041,20466,230,9389,2794,7855
1705,384,860,23459,0,656,2451,15217,26,12844,21901,272,9996,3442,8706
1799,388,903,23382,1,690,2692,15747,29,12861,23218,315,10552,4093,9461
1901,390,947,23365,1,725,2974,18859,27,12964,23218,315,10552,4093,9461

